torque_1,torque_2
0.11155,-0.631642
0.113746,-0.635496
0.119927,-0.638468
0.115291,-0.639114
0.114493,-0.642968
0.10541,-0.64594
0.112549,-0.645714
0.0954702,-0.647242
0.110604,-0.651668
0.0994859,-0.65057
0.104504,-0.654414
0.100013,-0.65507
0.104013,-0.658042
0.090073,-0.661014
0.0975619,-0.65789
0.083272,-0.65939
0.0912239,-0.666396
0.0941739,-0.662062
0.0627304,-0.664125
0.078823,-0.66329
0.0666544,-0.665644
0.0759146,-0.66509
0.0509535,-0.66977
0.0718433,-0.667471
0.0449063,-0.668962
0.0410239,-0.66899
0.0385091,-0.676286
0.0497452,-0.67457
0.0462128,-0.677514
0.0493081,-0.679286
0.0457757,-0.678442
0.0445693,-0.67847
0.0185906,-0.682568
0.0137498,-0.681142
0.00884981,-0.676818
0.0111322,-0.677718
0.0245489,-0.67949
-0.00107981,-0.68039
-0.00461222,-0.682162
-0.00849463,-0.689468
0.00309148,-0.685134
-0.0159094,-0.686034
-0.0194419,-0.692459
-0.0243419,-0.693068
-0.0127557,-0.692514
-0.00966037,-0.689062
-0.0363067,-0.689962
-0.0305354,-0.694642
-0.0310743,-0.692634
-0.0472539,-0.692662
-0.02904,-0.694434
-0.0556863,-0.699986
-0.0479391,-0.696534
-0.0641187,-0.696562
-0.0690187,-0.697462
-0.0667363,-0.699234
-0.0774511,-0.700134
-0.065865,-0.703942
-0.0858835,-0.701934
-0.0904335,-0.703134
-0.0791974,-0.704034
-0.0988659,-0.704934
-0.0930946,-0.705834
-0.107298,-0.706734
-0.110831,-0.709088
-0.115731,-0.708534
-0.120281,-0.709144
-0.124163,-0.710334
-0.128713,-0.711534
-0.133613,-0.71447
-0.127842,-0.713334
-0.142046,-0.714234
-0.145578,-0.716007
-0.14946,-0.719814
-0.15401,-0.716934
-0.139285,-0.718707
-0.162443,-0.72106
-0.147718,-0.720507
-0.170875,-0.720834
-0.163128,-0.721734
-0.179308,-0.722634
-0.18319,-0.72586
-0.186722,-0.725307
-0.191622,-0.725334
-0.183525,-0.727688
-0.199037,-0.727134
-0.20257,-0.728907
-0.20747,-0.73126
-0.205187,-0.732742
-0.213167,-0.732507
